cohort	trait	description	definition	model_marginal	n_samples	n_cases	n_controls	mean	sd	unit	domain	trait_cohort
BBJ	MCHC	Mean corpuscular hemoglobin concentration	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	135482	NA	NA	33.37116229	1.090171192	%	Hematopoietic	MCHC
UKBB	MCHC	Mean corpuscular hemoglobin concentration	UKBB: 30060	BOLT	351321	NA	NA	34.54231802	1.064067941	%	Hematopoietic	MCHC
UKBB	MCP	Multi-site chronic pain	Number of body regions with pain during last 3 months (see Johnston et al. PLoS Genetics, 2019)	BOLT	361187	NA	NA	NA	NA	NA	Neurological	MCP
BBJ	MCV	Mean corpuscular volume	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	129832	NA	NA	92.81368214	5.287659866	fL	Hematopoietic	MCV
UKBB	MCV	Mean corpuscular volume	UKBB: 30040	BOLT	351327	NA	NA	91.36956508	4.385641281	fL	Hematopoietic	MCV
BBJ	MI	Myocardial infarction	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	161206	14992	146214	NA	NA	NA	Cardiovascular	MI_Combined
FG	MI	Myocardial infarction, strict	FinnGen: I9_MI_STRICT	SAIGE	236856	14305	222551	NA	NA	NA	Cardiovascular	I9_MI_STRICT
UKBB	MI	Myocardial infarction	Phecode 411.2	SAIGE	343601	10135	333466	NA	NA	NA	Cardiovascular	MI
FG	Migraine	Migraine, single triptan purchase ok & required. ICD-code if available is included	FinnGen: MIGRAINE_TRIPTAN	SAIGE	260405	25316	235089	NA	NA	NA	Neurological	MIGRAINE_TRIPTAN
UKBB	Migraine	Migraine (Self-reported)	UKBB: 1265	SAIGE	361144	11380	349764	NA	NA	NA	Neurological	Migraine_Self
UKBB	Miserableness	Miserableness	UKBB: 1930	SAIGE	355132	151732	203400	NA	NA	NA	Behavioral	Miserableness
BBJ	Mono	Monocyte count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	95119	NA	NA	0.3740482512	0.1679396622	10^9 cells/L	Hematopoietic	Mono
UKBB	Mono	Monocyte count	UKBB: 30130	BOLT	350726	NA	NA	0.478358092	0.221301902	10^9 cells/L	Hematopoietic	Mono
UKBB	Mood_Swings	Mood swings	UKBB: 1920	SAIGE	352557	158960	193597	NA	NA	NA	Behavioral	Mood_Swings
UKBB	Morning_Person	Morning person	UKBB: 1180	BOLT	360203	NA	NA	NA	NA	NA	Behavioral	Morning_Person
FG	MS	MS-disease / Multiple Sclerosis	FinnGen: G6_MS	SAIGE	259704	1364	258340	NA	NA	NA	Immunological	G6_MS
FG	Mytonic_Disorders	Mytonic disorders	FinnGen: G6_MYOTDIS	SAIGE	258432	126	258306	NA	NA	NA	Neurological	G6_MYOTDIS
BBJ	NAP	Non-albumin protein	Total Protein - Albumin	BOLT	117608	NA	NA	29.14539435	4.95354772	g/L	Other	NAP
UKBB	NAP	Non-albumin protein	Total Protein [UKBB: 30860] - Albumin	BOLT	316549	NA	NA	27.11729069	3.558438693	g/L	Other	NAP
FG	Nephrotic_Syndrome	Nephrotic syndrome	FinnGen: N14_NEPHROTICSYND	SAIGE	257284	555	256729	NA	NA	NA	Renal	N14_NEPHROTICSYND
UKBB	Nervous_Feelings	Nervous feelings	UKBB: 1970	SAIGE	351779	83110	268669	NA	NA	NA	Behavioral	Nervous_Feelings
UKBB	Neuroticism	Neuroticism	UKBB: 20127	BOLT	293006	NA	NA	NA	NA	NA	Behavioral	Neuroticism
BBJ	Neutro	Neutrophil count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	82810	NA	NA	3.643715136	1.439297514	10^9 cells/L	Hematopoietic	Neutro
UKBB	Neutro	Neutrophil count	UKBB: 30140	BOLT	350726	NA	NA	4.246336171	1.410963859	10^9 cells/L	Hematopoietic	Neutro
BBJ	P	Phosphate	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	46848	NA	NA	1.090677277	0.209879862	mmol/L	Other	P
UKBB	P	Phosphate	UKBB: 30810	BOLT	316407	NA	NA	1.158583097	0.160655892	mmol/L	Other	P
BBJ	PAD	Peripheral artery disease	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	177713	4112	173601	NA	NA	NA	Cardiovascular	PAD_Combined
FG	PAD	Peripheral artery disease	FinnGen: I9_PAD	SAIGE	253928	9021	244907	NA	NA	NA	Cardiovascular	I9_PAD
FG	Parkinsons	Parkinson's disease	FinnGen: G6_PARKINSON	SAIGE	260405	2496	257909	NA	NA	NA	Neurological	G6_PARKINSON
BBJ	Plt	Platelet count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	148623	NA	NA	225.00784	68.65285987	10^9 cells/L	Hematopoietic	Plt
UKBB	Plt	Platelet count	UKBB: 30080	BOLT	351327	NA	NA	253.1349893	59.75614469	10^9 cells/L	Hematopoietic	Plt
BBJ	PP	Pluse pressure	SBP - DBP	BOLT	145445	NA	NA	55.36253567	14.00917648	mmHg	Cardiovascular	PP
UKBB	PP	Pulse pressure	SBP (UKBB: 4080) - DBP (UKBB: 4079)	BOLT	360863	NA	NA	56.27628075	13.73826276	mmHg	Cardiovascular	PP
BBJ	PrC	Prostate cancer	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	90332	5672	84660	NA	NA	NA	Other	PrC_Combined
FG	PrC	Malignant neoplasm of prostate (other cancers excluded from controls)	FinnGen: C3_PROSTATE_EXALLC	SAIGE	95798	8709	87089	NA	NA	NA	Other	C3_PROSTATE_EXALLC
UKBB	PrC	Prostate cancer	Phecode 185	SAIGE	155973	5994	149979	NA	NA	NA	Other	PrC_M
FG	Psoriasis	Psoriasis	FinnGen: L12_PSORIASIS	SAIGE	257944	5621	252323	NA	NA	NA	Immunological	L12_PSORIASIS
BBJ	RA	Rheumatoid arthritis	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178616	5348	173268	NA	NA	NA	Immunological	RA_Combined
FG	RA	Seropositive rheumatoid arthritis	FinnGen: RHEUMA_SEROPOS	SAIGE	209654	5857	203797	NA	NA	NA	Immunological	RHEUMA_SEROPOS
UKBB	RA	Rheumatoid arthritis	Phecode 714.1	SAIGE	357271	3806	353465	NA	NA	NA	Immunological	RA
BBJ	RBC	Red blood cell count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	153512	NA	NA	4.344904307	0.5620500962	10^12 cells/L	Hematopoietic	RBC
UKBB	RBC	Red blood cell count	UKBB: 30010	BOLT	351328	NA	NA	4.510489776	0.407768974	10^12 cells/L	Hematopoietic	RBC
UKBB	Risk_Taking	Risk taking	UKBB: 2040	SAIGE	348501	90489	258012	NA	NA	NA	Behavioral	Risk_Taking
BBJ	SBP	Systolic blood pressure	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	145505	NA	NA	134.586942	19.74006788	mmHg	Cardiovascular	SBP
UKBB	SBP	Systolic blood pressure	UKBB: 4080	BOLT	360863	NA	NA	139.2694444	19.03718247	mmHg	Cardiovascular	SBP
BBJ	sCr	Serum creatinine	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	150266	NA	NA	68.4793305	19.82442895	umol/L	Renal	sCr
UKBB	sCr	Serum creatinine	UKBB: 23478	BOLT	345067	NA	NA	72.31458123	17.83996005	umol/L	Renal	sCr
UKBB	Sensitivity	Sensitivity	UKBB: 1950	SAIGE	350774	194729	156045	NA	NA	NA	Behavioral	Sensitivity
FG	Sensorineural_Hearing_Loss	Sensorineural hearing loss	FinnGen: H8_HL_SEN_NAS	SAIGE	252722	19316	233406	NA	NA	NA	Other	H8_HL_SEN_NAS
UKBB	SHBG	Sex hormone binding globulin	UKBB: 30830	BOLT	313997	NA	NA	51.91519992	27.72122969	nmol/L	Other	SHBG
FG	SkC	Malignant neoplasm of skin (other cancers excluded from controls)	FinnGen: C3_SKIN_EXALLC	SAIGE	217777	13707	204070	NA	NA	NA	Other	C3_SKIN_EXALLC
UKBB	SkC	Skin cancer	Phecode 172	SAIGE	361017	12055	348962	NA	NA	NA	Other	SkC
FG	Sleep_Apnoea	Sleep apnoea, including avohilmo	FinnGen: G6_SLEEPAPNO_INCLAVO	SAIGE	260405	21025	239380	NA	NA	NA	Other	G6_SLEEPAPNO_INCLAVO
BBJ	Smoking_CPD	Smoking (cigarettes per day)	Retrieved from medical records (PMID: 31089300)	BOLT	74893	NA	NA	23.00596852	14.58137026	cigarettes/day	Other	Smoking_CPD
UKBB	Smoking_CPD	Smoking (cigarettes per day)	Combination of current/previous number of cigarettes smoked per day (UKBB: 2887 and 3456)	BOLT	111293	NA	NA	18.22848697	10.32830365	cigarettes/day	Other	Smoking_CPD
BBJ	Smoking_Ever_Never	Smoking (ever vs never)	Retrieved from medical records (PMID: 31089300)	SAIGE	177204	88277	87889	NA	NA	NA	Other	Smoking_Ever_Never
UKBB	Smoking_Ever_Never	Smoking (ever vs never)	UKBB: 20116	SAIGE	359657	164617	195040	NA	NA	NA	Other	Smoking_Ever_Never
FG	Statin	Statin medication	FinnGen: RX_STATIN	SAIGE	260405	86466	173939	NA	NA	NA	Lipids	RX_STATIN
UKBB	Suffer_from_Nerves	Suffer from nerves	UKBB: 2010	SAIGE	348038	73931	274107	NA	NA	NA	Behavioral	Suffer_from_Nerves
BBJ	T1D	Type 1 diabetes	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	133251	1219	132032	NA	NA	NA	Immunological	T1D
FG	T1D	Type1 diabetes, definitions combined	FinnGen: T1D	SAIGE	217748	3440	214308	NA	NA	NA	Immunological	T1D
UKBB	T1D	Type 1 diabetes	Phecode 250.1	SAIGE	346046	2456	343590	NA	NA	NA	Immunological	T1D
BBJ	T2D	Type 2 diabetes	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	177415	45383	132032	NA	NA	NA	Metabolic	T2D_Combined
FG	T2D	Type 2 diabetes, definitions combined	FinnGen: T2D	SAIGE	251339	37031	214308	NA	NA	NA	Metabolic	T2D
UKBB	T2D	Type 2 diabetes	Phecode 250.2	SAIGE	360058	16468	343590	NA	NA	NA	Metabolic	T2D
BBJ	TBil	Total bilirubin	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	124341	NA	NA	10.60857179	5.118226889	umol/L	Hepatic	TBil
UKBB	TBil	Total bilirubin	UKBB: 30840	BOLT	343836	NA	NA	9.142489326	4.425071546	umol/L	Hepatic	TBil
BBJ	TC	Total cholesterol	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	135808	NA	NA	5.161803194	1.011417939	mmol/L	Lipids	TC
UKBB	TC	Total cholesterol	UKBB: 30690	BOLT	345235	NA	NA	5.710347972	1.142162033	mmol/L	Lipids	TC
UKBB	Tense	Tense	UKBB: 1990	SAIGE	350111	60500	289611	NA	NA	NA	Behavioral	Tense
UKBB	Testosterone_F	Testosterone (females)	UKBB: 30850	BOLT	155275	NA	NA	1.116713727	0.6269606807	nmol/L	Other	Testosterone_F
UKBB	Testosterone_M	Testosterone (males)	UKBB: 30850	BOLT	158230	NA	NA	11.9799887	3.714319879	nmol/L	Other	Testosterone_M
BBJ	TG	Triglyceride	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	111667	NA	NA	1.502942421	0.812329167	mmol/L	Lipids	TG
UKBB	TG	Triglyceride	UKBB: 30870	BOLT	344952	NA	NA	1.752566714	1.023500837	mmol/L	Lipids	TG
BBJ	TP	Total protein	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	133321	NA	NA	71.04352187	5.76557136	g/L	Other	TP
UKBB	TP	Total protein	UKBB: 30860	BOLT	316664	NA	NA	72.35557218	4.035259814	g/L	Other	TP
BBJ	UA	Uric acid	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	129405	NA	NA	324.8216358	92.5007082	umol/L	Renal	UA
UKBB	UA	Uric acid	UKBB: 30880	BOLT	344801	NA	NA	309.5130414	80.39943013	umol/L	Renal	UA
FG	UC	Ulcerative colitis (strict definition, all Crohn cases excluded)	FinnGen: K11_UC_NOCD	SAIGE	252473	2768	249705	NA	NA	NA	Immunological	K11_UC_NOCD
BBJ	UF	Uterine fibroids	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	80208	14475	65733	NA	NA	NA	Other	UF_Combined
FG	UF	Leiomyoma of uterus	FinnGen: CD2_BENIGN_LEIOMYOMA_UTERI	SAIGE	147061	21518	125543	NA	NA	NA	Other	CD2_BENIGN_LEIOMYOMA_UTERI
UKBB	UF	Uterine fibroids	Phecode 218.1	SAIGE	188543	8992	179551	NA	NA	NA	Other	UF_F
UKBB	Urea	Urea	UKBB: 30670	BOLT	345014	NA	NA	5.42889161	1.392082228	mmol/L	Renal	Urea
BBJ	Urolithiasis	Urolithiasis	Diagnosis by professional physicians and past medical history (doi: 10.1101/2020.10.23.20213652)	SAIGE	178726	11699	167027	NA	NA	NA	Other	Urolithiasis_Final
FG	Urolithiasis	Urolithiasis	FinnGen: N14_UROLITHIASIS	SAIGE	260405	6462	253943	NA	NA	NA	Other	N14_UROLITHIASIS
UKBB	Urolithiasis	Urolithiasis	Phecode 594	SAIGE	359993	5868	354125	NA	NA	NA	Other	Urolithiasis
FG	Varicose_Veins	Varicose veins	FinnGen: I9_VARICVE	SAIGE	246160	20425	225735	NA	NA	NA	Other	I9_VARICVE
UKBB	Varicose_Veins	Varicose veins of lower extremity	Phecode 454.1	SAIGE	336983	10297	326686	NA	NA	NA	Other	Varicose_Veins
UKBB	VitD	Vitamin D	UKBB: 30890	BOLT	330456	NA	NA	49.67091746	20.9712217	nmol/L	Other	VitD
FG	VTE	Venous thromboembolism	FinnGen: I9_VTE	SAIGE	260405	11288	249117	NA	NA	NA	Other	I9_VTE
BBJ	WBC	White blood cell count	Retrieved from medical records (doi: 10.1101/2020.10.23.20213652)	BOLT	154355	NA	NA	6.141575589	1.907689053	10^9 cells/L	Hematopoietic	WBC
UKBB	WBC	White blood cell count	UKBB: 30000	BOLT	351324	NA	NA	6.888664822	2.034034319	10^9 cells/L	Hematopoietic	WBC
UKBB	WHRadjBMI	Waist-to-hip ratio (adjusted by BMI)	Waist-to-hip ratio (Waist [UKBB: 48] / Hip [UKBB: 49]) adjusted by BMI (UKBB: 21001)	BOLT	360505	NA	NA	0.87166576	0.090195986	[ratio]	Metabolic	WHRadjBMI
UKBB	Worrier	Worrier	UKBB: 1980	SAIGE	351785	199435	152350	NA	NA	NA	Behavioral	Worrier
UKBB	Worry_Too_Long	Worry too long after embarrassment	UKBB: 2000	SAIGE	346479	165287	181192	NA	NA	NA	Behavioral	Worry_Too_Long
